"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"2058","DR","NM690","42X","42.2","Sandy","<Null>","<Null>","240","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"1317","DR","NM690","42X","42.2","Sandy","Gyp upland","Loamy","214","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Traverse points"
"1380","DR","NM690","42X","42.2","Loamy","Gyp upland","Sandy","421","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","Traverse points"
"1380","DR","NM690","42X","42.2","Loamy","Gyp upland","Sandy","124","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","Traverse points"
"2727","DR","NM690","42X","42.2","Loamy","Draw","Bottomland","217","<Null>","","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Bottomland","Loamy","<Null>","247","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Bottomland","Draw","274","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Bottomland","Deep sand","247","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Sandy","<Null>","462","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Tank","<Null>","<Null>","12","<Null>","","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Bottomland","Playette","Sandy","247","<Null>","","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Clayey","Bottomland","241","<Null>","","<Null>","<Null>","perennial","existing point inventory data","","traverse"
"2727","DR","NM690","42X","42.2","Gyp upland","Sandy","Loamy","241","<Null>","","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Bottomland","Sandy","247","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2727","DR","NM690","42X","42.2","Loamy","Bottomland","Clayey","241","<Null>","","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2730","915","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2730","915","NM690","42X","42.2","Sandy","Gravelly","","640","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2730","915","NM690","42X","42.2","Drainage","Draw","Gravelly sand","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2321","915","NM690","42X","42.2","Gravelly","Limestone hills","Hills","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2321","915","NM690","42X","42.2","Hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2736","915","NM690","42X","42.2","Limestone hills","Hills","Gravelly","560","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Gravelly","Limestone hills","Hills","650","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2321","915","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Drainage","Gravelly","","567","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Drainage","Draw","","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1984","915","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2413","914","NM690","42X","42.2","Tank","Bottomland","Draw","12","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Drainage","Gravelly","","567","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Limestone hills","Gravelly","","356","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Drainage","Sandy","Sandhills","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2398","914","NM690","42X","42.2","Gravelly","Sandy","Limestone hills","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2398","914","NM690","42X","42.2","Drainage","Draw","","567","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2398","914","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2398","914","NM690","42X","42.2","Gravelly","Drainage","Draw","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2398","914","NM690","42X","42.2","Gravelly","Limestone hills","","563","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2426","914","NM690","42X","42.2","Gravelly","Hills","Sandhills","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Deep sand","Sandhills","","652","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Drainage","Gravelly","Sandy","567","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Sandy","Limestone hills","563","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Sandy","Gravelly","","640","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2437","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2437","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Sandy","Limestone hills","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2415","914","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Drainage","Sandy","Gravelly","537","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1907","818","NM690","42X","42.2","Limestone hills","Gravelly","Sandhills","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1907","818","NM690","42X","42.2","Drainage","","","657","<Null>","<Null>","<Null>","<Null>","perennial","site visit","<Null>","seed bank study"
"1907","818","NM690","42X","42.2","Limestone hills","Gravelly","Sandhills","650","<Null>","<Null>","OPENE - cactus apple","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Sandy","Gravelly","Limestone hills","640","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
